"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
192612	3.62	2.76	1.03	0.11	3.4	0.441475827	0.0508852104	0
192701	-1.19	0.15	0.46	5.05	1.51	0.4437056454	0.050832763	-0.011299435
192702	5.28	4	4.19	1.71	5.06	0.4285008644	0.0516809667	-0.0057142857
192703	1.64	-1.43	3.65	1.01	1.27	0.4697651174	0.0463699163	-0.0057471264
192704	3.52	-1.13	1.35	2.74	0.86	0.4567541302	0.0505179017	0
192705	6.09	5.67	5.28	4.12	6.43	0.4347826087	0.0552790327	0.0057803468
192706	-1.95	-3.03	0.51	0.54	-2.11	0.4523852494	0.0588256372	0.0114942529
192707	8.69	7.51	7.59	9.84	6.09	0.414553473	0.0597541787	-0.0170454545
192708	5.23	1.97	2.94	0.28	-1.06	0.3962274092	0.0545259274	-0.0057803468
192709	5.89	4.9	3.93	5.65	4.6	0.380586062	0.0946167888	0.0058139535
192710	-3	-4.7	-4.54	5.13	-3.79	0.4138006933	0.0943707272	0.0057803468
192711	7.75	7.7	6.52	3.68	4.5	0.3793955905	0.082270951	-0.0057471264
192712	3.61	2.2	1.28	-0.46	1.98	0.3746885899	0.076474752	0
192801	-1.21	0.18	-0.03	2.69	-0.99	0.3786696208	0.0626051546	0
192802	-1.53	-1.11	-0.38	-1.38	-2	0.3860765992	0.0551726339	-0.0115606936
192803	13.88	6.96	10.32	10.54	6.09	0.363254838	0.0543639372	0
192804	0.44	7.69	2.7	2.35	4.22	0.3680952606	0.0493720638	0
192805	3.51	0.1	4.36	9.27	0.01	0.3543969792	0.0471873758	0.0058479532
192806	-4.05	-4.35	-5.12	-3.15	-4.27	0.3702999477	0.0502987889	-0.0058139535
192807	2.2	1.03	-0.29	2.39	-0.36	0.3606481481	0.0593803298	0
192808	8.99	6.28	7.23	14.57	4.75	0.3240297825	0.0573989063	0
192809	3.66	4.44	0.42	-1.14	1.98	0.3281658101	0.0279800569	0.0116959064
192810	1.69	2.39	2.38	0.05	-0.42	0.3089308376	0.0340193716	-0.0057803468
192811	7.8	16.03	13.46	5.05	10.02	0.2655259391	0.0383720096	0
192812	-1.01	0.51	3.78	-0.41	0.45	0.2596666667	0.0630687383	-0.0058139535
192901	0.68	6.05	11.7	3.43	5.59	0.2453466033	0.0784486564	0
192902	-1.52	1.34	-0.9	0.05	0.02	0.2454238997	0.0717831373	0
192903	-3.62	1.09	4.41	-1.5	-2.16	0.2723004695	0.0798045664	-0.0058479532
192904	1.1	2.45	2.48	1.48	0.44	0.2633969119	0.0993226329	-0.0058823529
192905	-9.69	-5.67	-3.68	-7.84	0.03	0.2827746209	0.1179866681	0.0059171598
192906	7.01	12.32	15.73	4.52	5.73	0.2535805819	0.1161973604	0.0058823529
192907	0.38	4.54	10.97	2.59	6.61	0.2418751798	0.1106879396	0.0116959064
192908	4.94	9.69	11.92	3.09	7.82	0.2211237609	0.115277315	0
192909	-5.72	-3.94	-5.1	-7.02	-6.44	0.2448682487	0.1213901177	0
192910	-20.45	-20.47	-22.65	-18.02	-11.88	0.307484187	0.159611836	0
192911	-12.2	-12.35	-14.84	-7.9	-9.58	0.3519564763	0.1770397921	0
192912	0.15	2.35	6.1	1.11	-0.49	0.3384578236	0.1635221721	-0.0057803468
193001	5.54	5.04	6.32	2.55	4.76	0.3148162012	0.1533141989	-0.0058139535
193002	0.47	2.23	7.45	3.15	3.29	0.3102061894	0.1592556286	-0.0058479532
193003	3.86	10.15	8.41	5.99	4.79	0.3191191891	0.1454961766	-0.0058823529
193004	-1.71	-1.07	-0.84	-1.27	-6.55	0.3269705977	0.1296808921	0.0059171598
193005	1.86	-2.15	-2.4	-1.49	-0.93	0.3319155124	0.1249268071	-0.0058823529
193006	-15.66	-16.97	-14.85	-13.34	-11.82	0.4033754529	0.1310010449	-0.0059171598
193007	5.4	4.64	2.78	6.52	3.46	0.3901876149	0.1405508333	-0.0119047619
193008	1.56	-0.43	2	7.71	-0.36	0.3797521005	0.121494954	-0.0060240964
193009	-11.51	-13.57	-12.35	-8.7	-10.56	0.4455832113	0.1272003762	0.0060606061
193010	-7.46	-9.06	-10.87	-4.37	-8.43	0.4979547314	0.129491358	-0.0060240964
193011	2.04	-3.75	-3.27	-3.23	-5.17	0.5046708308	0.1377528675	-0.0060606061
193012	-5.83	-7.8	-7.09	-6.79	-8.81	0.5547454126	0.1138858911	-0.0182926829
193101	6.47	4.5	4.99	8.23	11.83	0.5391520019	0.089710832	-0.0124223602
193102	11.35	12.07	13.43	7.81	5.52	0.4796679626	0.082533364	-0.0125786164
193103	-2.64	-7.06	-5.64	1.8	-9.41	0.529125087	0.0739691724	-0.0063694268
193104	-5.9	-12.3	-8.48	-3.62	-9.88	0.6032144983	0.0777687853	-0.0064102564
193105	-10.64	-13.86	-10.76	-10.26	-17.44	0.7099486221	0.0713674036	-0.0129032258
193106	11.01	15.12	13.99	9.69	16.34	0.6072712745	0.0637461202	-0.0130718954
193107	-2.84	-7.23	-7.25	2.61	-9.91	0.6736095723	0.0339939666	0
193108	-0.32	1.32	2.02	0.39	-3.9	0.654185496	0.0201448096	0
193109	-28.58	-30.86	-26.78	-29.45	-26.5	0.9440016561	0.0303524609	-0.0066225166
193110	9.99	9.38	7.02	11.26	1.88	0.8771761085	0.0112531729	-0.0066666667
193111	-5.42	-7.29	-9.77	-2.79	-19.2	0.9715564078	0.003378334	-0.0134228188
193112	-10.69	-15.53	-10.06	-4.1	-16.48	1.1707317073	-0.0129441955	-0.0068027211
193201	-0.41	-2.19	-6.74	-2.66	6.71	1.1913781842	-0.0115774352	-0.0205479452
193202	4.33	6.96	9.78	2.05	-0.19	1.1198428291	-0.0157276692	-0.013986014
193203	-10.33	-9.7	-11.41	-6.41	-15.99	1.1858624454	-0.0084155117	-0.0070921986
193204	-15.89	-18.19	-16.23	-19.77	-22.34	1.5537278741	-0.0154750877	-0.0071428571
193205	-22.7	-17.84	-16.06	-34.08	-30.03	1.9423334823	-0.0340510446	-0.0143884892
193206	-0.75	1.23	-5.41	11.05	-2.01	2.0284780579	-0.0406886277	-0.0072992701
193207	28.44	35.86	24.4	29.18	55.78	1.6125440713	-0.0291765092	0
193208	28.96	37.21	33.84	35.87	58.75	1.1878075451	-0.0150632226	-0.0073529412
193209	1.9	-5.19	-1.82	-11.92	-4.13	1.2143655674	0.0007049814	-0.0074074074
193210	-14.57	-11.22	-11.87	-18.56	-18.01	1.4038772213	-0.0028734808	-0.0074626866
193211	-5.92	-6.63	-3.36	5.53	-6.88	1.5421472937	-0.0033213911	-0.007518797
193212	4.21	4.23	4.82	6.82	4.9	1.4420843014	-0.005031571	-0.0075757576
193301	2.25	-0.93	0.65	-1.13	8.54	1.4269293924	-0.0064898135	-0.0152671756
193302	-14.05	-17.32	-11.55	-10.82	-16.42	1.6909904651	-0.0058167549	-0.015503876
193303	9.79	1.84	-2.51	-3.16	3.8	1.476534296	-0.021882756	-0.0078740157
193304	43.67	43.53	25.52	37.13	30.73	1.1190150479	-0.006368252	0
193305	16.46	22.17	18.29	23.49	31.5	0.9283849733	-0.0030009102	0
193306	13.98	13.16	10.62	10.39	14.51	0.8335031588	0.0007615701	0.0079365079
193307	-8.18	-12.04	-6.94	-19.11	-6.67	0.9011788036	0.0027143126	0.031496063
193308	12.01	13.05	7.59	-0.38	14.6	0.7987501221	0.0021474203	0.0076335878
193309	-9.79	-9.93	-8.79	-1.31	-16.41	0.8679966044	-0.0004583629	0
193310	-9.1	-6.99	-8.08	-6.02	-10.84	0.9278584392	0.0034631395	0
193311	12.06	10.72	8.12	9.4	5.34	0.8335031588	0.0059235947	0
193312	2.04	2.21	-1.86	-11.73	4.7	0.8290260464	0.0061958281	0
193401	12.49	11.77	9.78	16.77	18.55	0.7629173662	0.0035583231	0
193402	-2.36	-2.99	-1.24	-3.59	-1.89	0.790643727	0.0055949443	0.0075757576
